ID,Species,Genotype,Tape Color,Treatment Tank,Treatment,Timepoint Sampled,Metric,FileName,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,DateAnalyzed,Notes
1471,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank1a_20220712.JPG,226.607,72.261,196.518,135.42,105.565,73.79,7/13/22,"Photos taken with JA GoPro, not super clear"
2752,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank2a_20220716.JPG,170.781,36.746,136.926,113.633,98.564,73.592,7/17/22,"Photos taken with JA GoPro, not super clear"
1451,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank1c_20220716.JPG,194.522,48.854,158.944,162.499,133.899,100.965,7/16/22,"Photos taken with JA GoPro, not super clear"
1641,Pacuta,P-G1,Brown,High Tank 1,High,Day 3,Physiology ,Physiology_Day3_HighTank1d_20220714.JPG,188.527,61.423,220.131,107.802,111.437,117.102,7/15/22,"Photos taken with JA GoPro, not super clear"
1320,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank2b_20220714.JPG,201.801,46.773,184.704,111.105,98.553,79.688,7/15/22,"Photos taken with JA GoPro, not super clear"
1227,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank2b_20220712.JPG,207.023,39.662,157.778,163.905,142.186,105.316,7/13/22,"Photos taken with JA GoPro, not super clear"
1682,Pacuta,P-G1,Brown,High Tank 2,High,Day 7,Molecular,M/P_Day7_HighTank2a_20220718.JPG,158.621,51.503,200.467,96.358,94.663,90.335,7/25/22,"Photos taken with JA GoPro, not super clear"
1752,Pacuta,P-G1,Brown,High Tank 1,High,Day 1,Molecular,Molecular_Day1_HighTank2b_20220712.JPG,213.798,62.381,174.103,129.672,97.801,63.711,7/13/22,"Photos taken with JA GoPro, not super clear"
1330,Pacuta,P-G1,Brown,High Tank 1,High,Day 7,Physiology,Physiology_Day7_HighTank1b_20220718.JPG,137.913,36.994,153.061,75.371,69.598,59.383,7/25/22,"Photos taken with JA GoPro, not super clear"
1094,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank1d_20220714.JPG,173.833,36.963,187.681,82.388,81.519,76.847,7/15/22,"Photos taken with JA GoPro, not super clear"
1038,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 7,Molecular,,,,,,,,,
1276,Pacuta,P-G1,Brown,High Tank 2,High,Day 3,Molecular,Molecular_Day3_HighTank2a_20220714.JPG,208.008,57.99,208.899,89.408,77.755,67.691,7/15/22,"Photos taken with JA GoPro, not super clear"
2556,Pacuta,P-G1,Brown,High Tank 2,High,Day 5,Physiology,Physiology_Day5_HighTank2b_20220716.JPG,197.518,34.325,182.147,96.969,84.454,67.203,7/18/22,"Photos taken with JA GoPro, not super clear"
1644,Pacuta,P-G1,Brown,High Tank 2,High,Day 1,Physiology,Physiology_Day1_HighTank2a_20220712.JPG,242.436,81.586,230.996,128.084,107.974,89.207,7/13/22,"Photos taken with JA GoPro, not super clear"
1324,Pacuta,P-G1,Brown,High Tank 1,High,Day 5,Molecular,Molecular_Day5_HighTank1a_20220716.JPG,216.978,74.214,190.261,119.731,90.186,63.628,7/16/22,"Photos taken with JA GoPro, not super clear"
1741,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank1a_20220718.JPG,126.212,35.103,121.617,89.805,92.675,82.163,7/25/22,Sort of dying
2382,Mcapitata,M-G2,Purple,Ambient Tank 1,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank1a_20220714.JPG,156.495,43.619,170.151,78.375,70.49,50.853,7/15/22,"Photos taken with JA GoPro, not super clear"
1616,Mcapitata,M-G2,Purple,Ambient Tank 2,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank2c_20220714.JPG,97.968,18.549,89.624,57.671,41.338,36.015,7/15/22,"Photos taken with JA GoPro, not super clear"
1478,Mcapitata,M-G2,Purple,High Tank 2,High,Day 5,Molecular,Molecular_Day5_HighTank2c_20220716.JPG,213.049,44.256,197.676,105.653,93.34,78.342,7/17/22,"Photos taken with JA GoPro, not super clear"
1066,Mcapitata,M-G2,Purple,High Tank 2,High,Day 3,Physiology ,Physiology_Day3_HighTank2a_20220714.JPG,121.191,27.501,124.92,59.809,54.704,47.774,7/15/22,"Photos taken with JA GoPro, not super clear"
1626,Mcapitata,M-G2,Purple,High Tank 1,High,Day 3,Molecular,Molecular_Day3_HighTank1a_20220714.JPG,184.585,48.895,200.708,71.308,63.129,49.187,7/15/22,"Photos taken with JA GoPro, not super clear"
2758,Mcapitata,M-G2,Purple,High Tank 1,High,Day 1,Physiology,Physiology_Day1_HighTank1a_20220712.JPG,231.703,71.186,201.012,131.929,98.426,63.237,7/13/22,"Photos taken with JA GoPro, not super clear"
1220,Mcapitata,M-G2,Purple,Ambient Tank 2,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank2a_20220712.JPG,149.689,34.362,124.37,117.053,91.194,60.669,7/13/22,"Photos taken with JA GoPro, not super clear"
1542,Mcapitata,M-G2,Purple,Ambient Tank 2,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank2b_20220718.JPG,146.755,35.005,174.7,80.892,77.153,68.447,7/25/22,"Photos taken with JA GoPro, not super clear"
2559,Mcapitata,M-G2,Purple,Ambient Tank 1,Ambient,Day 5,Physiology,Molecular_Day5_AmbTank1c_20220716.JPG,194.522,48.854,158.944,132.5,100.981,67.974,7/16/22,"Photos taken with JA GoPro, not super clear"
1631,Mcapitata,M-G2,Purple,High Tank 1,High,Day 7,Molecular,Molecular_Day7_HighTank1a_20220718.JPG,212.941,72.989,243.882,94.338,81.696,61.493,7/25/22,"Photos taken with JA GoPro, not super clear"
1690,Mcapitata,M-G2,Purple,Ambient Tank 1,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank1a_20220712.JPG,232.589,59.693,190.554,136.617,100.404,62.515,7/13/22,"Photos taken with JA GoPro, not super clear"
1280,Mcapitata,M-G2,Purple,Ambient Tank 2,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank2a_20220716.JPG,210.535,34.234,147.567,143.902,105.906,75.595,7/16/22,"Photos taken with JA GoPro, not super clear"
1601,Mcapitata,M-G2,Purple,High Tank 1,High,Day 5,Physiology,Physiology_Day5_HighTank1b_20220716.JPG,233.935,86.119,218.564,131.488,95.513,52.478,7/18/22,"Photos taken with JA GoPro, not super clear"
2980,Mcapitata,M-G2,Purple,Ambient Tank 1,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank1b_20220716.JPG,147.918,35.611,128.104,106.931,85.682,54.451,7/17/22,"Photos taken with JA GoPro, not super clear"
1500,Mcapitata,M-G2,Purple,High Tank 2,High,Day 7,Physiology,Physiology_Day7_HighTank2a_20220718.JPG,134.972,34.453,139.803,108.038,121.922,100.299,7/25/22,Dead/dying
1298,Mcapitata,M-G2,Purple,High Tank 2,High,Day 1,Molecular,Molecular_Day1_HighTank2a_20220712.JPG,213.214,59.827,193.325,145.411,127.918,98.139,7/13/22,"Photos taken with JA GoPro, not super clear"
1687,Pacuta,P-G2,Yellow,High Tank 1,High,Day 3,Molecular,Molecular_Day3_HighTank1b_20220714.JPG,179.677,39.02,183.96,115.685,115.188,115.189,7/15/22,"Photos taken with JA GoPro, not super clear"
1822,Pacuta,P-G2,Yellow,Ambient Tank 2,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank2d_20220718.JPG,184.832,63.262,216.189,107.133,118.515,117.276,7/25/22,"Photos taken with JA GoPro, not super clear"
1760,Pacuta,P-G2,Yellow,High Tank 2,High,Day 7,Physiology,Physiology_Day7_HighTank2d_20220718.JPG,181.71,54.806,194.07,98.9,102.46,81.9,7/25/22,"Photos taken with JA GoPro, not super clear"
1289,Pacuta,P-G2,Yellow,High Tank 2,High,Day 5,Molecular,Molecular_Day5_HighTank2b_20220716.JPG,193.918,53.587,174.11,128.541,134.318,104.602,7/17/22,"Photos taken with JA GoPro, not super clear"
1550,Pacuta,P-G2,Yellow,High Tank 1,High,Day 7,Molecular,Molecular_Day7_HighTank1a_20220718.JPG,212.941,72.989,243.882,136.712,139.76,139.976,7/25/22,"Photos taken with JA GoPro, not super clear"
1422,Pacuta,P-G2,Yellow,High Tank 1,High,Day 5,Physiology,Physiology_Day5_HighTank1a_20220716.JPG,223.068,80.253,218.231,155.318,137.708,114.909,7/18/22,"Photos taken with JA GoPro, not super clear"
1564,Pacuta,P-G2,Yellow,Ambient Tank 2,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank2c_20220716.JPG,226.045,72.23,215.703,115.175,100.934,83.289,7/16/22,"Photos taken with JA GoPro, not super clear"
2193,Pacuta,P-G2,Yellow,High Tank 2,High,Day 1,Molecular,Molecular_Day1_HighTank2b_20220712.JPG,202.2,47.522,150.241,153.029,128.507,98.637,7/13/22,"Photos taken with JA GoPro, not super clear"
2086,Pacuta,P-G2,Yellow,High Tank 1,High,Day 1,Physiology,Physiology_Day1_HighTank1a_20220712.JPG,231.703,71.186,201.012,133.001,109.528,81.443,7/13/22,"Photos taken with JA GoPro, not super clear"
2876,Pacuta,P-G2,Yellow,Ambient Tank 1,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank1b_20220712.JPG,184.448,39.514,129.479,181.752,152.918,115.463,7/13/22,"Photos taken with JA GoPro, not super clear"
1602,Pacuta,P-G2,Yellow,Ambient Tank 2,Ambient,,,Molecular_Day3_AmbTank2a_20220714.JPG,91.93,46.818,187.047,102.029,102.398,97.801,7/15/22,"Photos taken with JA GoPro, not super clear"
2308,Pacuta,P-G2,Yellow,Ambient Tank 2,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank2a_20220712.JPG,149.689,34.362,124.37,170.76,152.822,121.188,7/13/22,"Photos taken with JA GoPro, not super clear"
1728,Pacuta,P-G2,Yellow,Ambient Tank 1,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank1c_20220714.JPG,195.529,48.553,209.351,105.242,107.814,96.219,7/15/22,"Photos taken with JA GoPro, not super clear"
1120,Pacuta,P-G2,Yellow,Ambient Tank 1,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank1a_20220716.JPG,175.692,49.3,154.546,142.525,126.281,98.27,,
1446,Pacuta,P-G2,Yellow,Ambient Tank 1,Ambient,Day 7,Molecular,Molecular_Day7_AmbTank1a_20220718.JPG,144.74,36.628,147.273,101.237,111.033,110.834,7/25/22,Dead/dying
1563,Pacuta,P-G2,Yellow,High Tank 2,High,Day 3,Physiology ,Physiology_Day3_HighTank2a_20220714.JPG,121.191,27.501,124.92,86.683,85.43,79.381,7/15/22,"Photos taken with JA GoPro, not super clear"
1438,Mcapitata,M-G3,Red,High Tank 1,High,Day 5,Physiology,Physiology_Day5_HighTank1a_20220716.JPG,223.068,80.253,218.231,121.641,97.095,73.395,7/25/22,"Photos taken with JA GoPro, not super clear"
1322,Mcapitata,M-G3,Red,Ambient Tank 2,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank2b_20220716.JPG,217.904,71.019,208.521,90.907,65.355,39.205,7/18/22,"Photos taken with JA GoPro, not super clear"
2368,Mcapitata,M-G3,Red,Ambient Tank 1,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank1b_20220714.JPG,189.645,62.303,199.988,65.552,53.771,37.852,7/15/22,"Photos taken with JA GoPro, not super clear"
1771,Mcapitata,M-G3,Red,High Tank 1,High,Day 7,Molecular,Molecular_Day7_HighTank1a_20220718.JPG,212.941,72.989,243.882,89.797,86.047,81.792,7/25/22,"Photos taken with JA GoPro, not super clear"
1764,Mcapitata,M-G3,Red,Ambient Tank 2,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank2a_20220712.JPG,218.558,39.788,160.176,131.936,92.627,54.088,7/13/22,"Photos taken with JA GoPro, not super clear"
1620,Mcapitata,M-G3,Red,Ambient Tank 2,Ambient,Day 7,Molecular,Molecular_Day7_AmbTank2a_20220718.JPG,130.253,32.629,142.193,82.606,69.194,42.163,7/25/22,"Photos taken with JA GoPro, not super clear"
1130,Mcapitata,M-G3,Red,High Tank 2,High,Day 3,Physiology ,Physiology_Day3_HighTank2a_20220714.JPG,121.191,27.501,124.92,88.477,89.112,94.266,7/15/22,"Photos taken with JA GoPro, not super clear"
1441,Mcapitata,M-G3,Red,Ambient Tank 2,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank2a_20220714.JPG,165.227,38.23,151.044,94.399,70.276,44.711,7/15/22,"Photos taken with JA GoPro, not super clear"
1180,Mcapitata,M-G3,Red,High Tank 1,High,Day 1,Physiology,Physiology_Day1_HighTank2b_20220712.JPG,220.812,54.627,187.472,104.9,81.524,58.391,7/13/22,"Photos taken with JA GoPro, not super clear"
2983,Mcapitata,M-G3,Red,Ambient Tank 1,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank1a_20220716.JPG,175.518,29.01,116.697,85.507,56.605,34.483,7/16/22,"Photos taken with JA GoPro, not super clear"
1429,Mcapitata,M-G3,Red,High Tank 2,High,Day 5,Molecular,Molecular_Day5_HighTank2a_20220716.JPG,196.981,59.542,190.32,152.8,163.151,154.36,7/16/22,Dead/dying
1123,Mcapitata,M-G3,Red,High Tank 2,High,Day 7,Physiology,M/P_Day7_HighTank2b_20220718.JPG,156.895,54.582,187.836,106.572,140.615,155.704,7/25/22,Dead/dying
1133,Mcapitata,M-G3,Red,Ambient Tank 1,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank1b_20220712.JPG,215.028,56.024,183.185,95.401,67.52,37.164,7/13/22,"Photos taken with JA GoPro, not super clear"
1223,Mcapitata,M-G3,Red,Ambient Tank 1,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank1b_20220718.JPG,177.877,61.022,196.5,78.869,65.39,42.496,7/25/22,"Photos taken with JA GoPro, not super clear"
2531,Mcapitata,M-G3,Red,High Tank 2,High,Day 1,Molecular,Molecular_Day1_HighTank2b_20220712.JPG,202.2,47.522,150.241,132.92,111.189,89.305,7/13/22,"Photos taken with JA GoPro, not super clear"
2402,Mcapitata,M-G3,Red,High Tank 1,High,Day 3,Molecular,,,,,,,,,
2389,Pacuta,P-G3,Dark Green,High Tank 2,High,Day 5,Physiology,Physiology_Day5_HighTank2a_20220716.JPG,186.052,41.598,172.416,117.252,113.619,87.45,7/18/22,"Photos taken with JA GoPro, not super clear"
3003,Pacuta,P-G3,Dark Green,High Tank 1,High,Day 3,Physiology ,Physiology_Day3_HighTank1d_20220714.JPG,172.572,41.664,196.48,99.576,98.7,99.888,7/15/22,"Photos taken with JA GoPro, not super clear"
2857,Pacuta,P-G3,Dark Green,High Tank 1,High,Day 5,Molecular,Molecular_Day5_HighTank1a_20220716.JPG,216.978,74.214,190.261,144.332,112.589,80.796,7/16/22,"Photos taken with JA GoPro, not super clear"
1489,Pacuta,P-G3,Dark Green,Ambient Tank 1,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank1b_20220718.JPG,177.877,61.022,196.5,78.631,77.449,70.085,7/25/22,"Photos taken with JA GoPro, not super clear"
1274,Pacuta,P-G3,Dark Green,High Tank 1,High,Day 1,Molecular,Molecular_Day1_HighTank1b_20220712.JPG,213.798,62.381,174.103,114.146,89.68,64.111,7/13/22,"Photos taken with JA GoPro, not super clear"
1312,Pacuta,P-G3,Dark Green,Ambient Tank 1,Ambient,Day 5,Molecular,Molecular_Day5_HighTank2c_20220716.JPG,213.049,44.256,197.676,128.638,116.754,100.484,7/17/22,"Photos taken with JA GoPro, not super clear"
2405,Pacuta,P-G3,Dark Green,Ambient Tank 2,Ambient,Day 7,Molecular,,,,,,,,,
1175,Pacuta,P-G3,Dark Green,Ambient Tank 2,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank2b_20220714.JPG,201.801,46.773,184.704,122.084,111.473,94.241,7/15/22,"Photos taken with JA GoPro, not super clear"
1209,Pacuta,P-G3,Dark Green,High Tank 2,High,Day 1,Physiology,Physiology_Day1_HighTank2b_20220712.JPG,190.033,43.533,158.345,135.609,115.947,81.051,7/13/22,"Photos taken with JA GoPro, not super clear"
1536,Pacuta,P-G3,Dark Green,Ambient Tank 2,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank2a_20220712.JPG,218.558,39.788,160.176,81.689,63.477,48.41,7/13/22,"Photos taken with JA GoPro, not super clear"
1437,Pacuta,P-G3,Dark Green,High Tank 2,High,Day 7,Molecular,M/P_Day7_HighTank2a_20220718.JPG,158.621,51.503,200.467,79.934,82.059,71.279,7/25/22,"Photos taken with JA GoPro, not super clear"
1701,Pacuta,P-G3,Dark Green,High Tank 2,High,Day 3,Molecular,Molecular_Day3_HighTank2c_20220714.JPG,213.806,77.985,229.882,92.835,89.043,76.004,7/17/22,"Photos taken with JA GoPro, not super clear"
2537,Pacuta,P-G3,Dark Green,Ambient Tank 1,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank1a_20220712.JPG,226.607,72.261,196.518,112.632,86.313,59.226,7/13/22,"Photos taken with JA GoPro, not super clear"
1149,Pacuta,P-G3,Dark Green,Ambient Tank 2,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank2d_20220716.JPG,193.773,83.804,77.773,126.707,98.471,67.729,7/18/22,"Photos taken with JA GoPro, not super clear"
1488,Pacuta,P-G3,Dark Green,Ambient Tank 1,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank1a_20220714.JPG,175.787,38.532,182.457,64.298,59.381,53.747,7/15/22,"Photos taken with JA GoPro, not super clear"
