Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,370,20220712,9:28,10:00
1,0,0,20220712,10:03,10:34
2,1,370,20220712,11:04,11:34
2,0,0,20220712,11:37,12:10
3,1,370,20220712,13:36,14:06
3,0,0,20220712,14:11,14:41
4,1,370,20220712,15:14,15:51
4,0,0,20220712,15:53,16:27
5,1,354,20220714,8:59,9:36
5,0,0,20220714,9:38,10:11
6,1,354,20220714,10:44,11:16
6,0,0,20220714,11:20,11:54
7,1,354,20220714,13:45,14:17
7,0,0,20220714,14:20,14:55
8,1,354,20220714,15:34,16:10
8,0,0,20220714,16:12,16:48
9,1,354,20220716,9:15,9:47
9,0,0,20220716,9:49,10:23
10,1,354,20220716,10:56,11:28
10,0,0,20220716,11:30,12:04
11,1,354,20220716,13:31,14:02:00
11,0,0,20220716,14:04,14:40
12,1,354,20220716,15:21,15:52
12,0,0,20220716,15:54,16:56
13,1,358,20220718,8:20,8:54
13,0,0,20220718,8:56,10:05
14,1,358,20220718,10:43,11:16
14,0,0,20220718,11:18,11:55
15,1,358,20220718,13:41,14:14
15,0,0,20220718,14:16,14:52
16,1,358,20220718,15:31,16:05
16,0,0,20220718,16:07,16:44